ID,LNG_LOJA,LAT_LOJA,LNG_FRIGO,LAT_FRIGO,DISTANCIA_KM
boi1,-35.3285,-5.7921,-44.1392295,-19.9488162,1833.615124796955
boi3,-35.2099,-5.8455,-61.8057425,-11.7254349,2995.5704052051965
boi4,-35.2099,-5.8455,-48.42480679,-7.633314911,1474.1914148841722
boi5,-35.2099,-5.8455,-48.42480679,-7.633314911,1474.1914148841722
boi6,-35.2294,-5.8851,-54.61574357,-20.45802999,2643.2236267165463
boi7,-35.2296,-5.8854,-54.61574357,-20.45802999,2643.1854549890377
boi8,-35.2296,-5.8854,-42.8337279,-5.10068111,847.0705471053434
boi9,-35.2296,-5.8854,-52.4465474,-15.3451417,2152.801972279478
boi10,-35.2296,-5.8854,-49.89514344,-7.340632794,1629.6324164286173
boi11,-35.2296,-5.8854,-50.61128172,-9.364055729,1739.9433536924034
boi12,-35.2296,-5.8854,-35.48996498,-6.852715,110.7839028905144
boi13,-35.2296,-5.8854,-50.0245774,-8.0544324,1652.2157022111978
boi14,-35.2296,-5.8854,-50.57021361,-14.74758948,1943.5929068050398
boi15,-35.2296,-5.8854,-56.04159807,-10.70019918,2352.7884472331807
boi16,-35.2296,-5.8854,-50.01696035,-5.629799735,1638.0687198426833
boi17,-35.2296,-5.8854,-45.93714428,-22.230303,2144.1002371918294
boi18,-35.2296,-5.8854,-46.92209251,-23.449453,2312.6097887169058
boi19,-35.2296,-5.8853,-41.88620318,-21.21059108,1841.3526208273975
boi20,-35.2296,-5.8853,-47.07154764,-23.43004085,2319.5778992286664
boi21,-35.2296,-5.8853,-56.04159807,-10.70019918,2352.791206883717
boi22,-35.2296,-5.8854,-34.91058339,-7.82837199,217.7472661457814
boi23,-35.2296,-5.8854,-46.82124801,-22.4360055,2215.032538681325
boi24,-35.2296,-5.8854,-34.91058339,-7.82837199,217.7472661457814
boi25,-35.2296,-5.8854,-54.56456909,-19.39552137,2573.0667882120783
boi26,-35.2296,-5.8854,-50.92968093,-17.7945434,2156.331002169325
boi27,-35.2296,-5.8854,-51.40520808,-26.90316461,2890.081352007956
boi28,-35.2296,-5.8853,-56.14466374,-15.65806482,2526.8864185251823
boi29,-35.2788,-5.9118,-48.20870525,-7.19132894,1436.9269375148156
boi30,-35.2788,-5.9118,-54.61574357,-20.45802999,2637.122646482927
boi31,-35.2787,-5.9118,-46.51591568,-18.59257082,1858.9296541446495
boi32,-35.2211,-5.8703,-52.61703111,-27.10683702,2986.93280025608
boi33,-35.2211,-5.8703,-50.01696035,-5.629799735,1639.0039183952663
boi34,-35.2211,-5.8703,-50.0245774,-8.0544324,1653.4126062513074
boi35,-35.2211,-5.8703,-54.61574357,-20.45802999,2644.972804786058
boi36,-35.2211,-5.8703,-54.61574357,-20.45802999,2644.972804786058
boi37,-35.2211,-5.8703,-50.57021361,-14.74758948,1945.267701892312
boi38,-35.2211,-5.8703,-61.1742191,-11.6959639,2925.3737535821065
boi39,-35.2211,-5.8703,-46.88292015,-23.36097138,2304.18771279987
boi40,-35.2211,-5.8703,-34.88894194,-8.062762483,245.22813330325408
boi41,-35.2211,-5.8703,-49.75142339,-21.6723465,2346.6319994620835
boi42,-35.2211,-5.8703,-35.37613082,-8.51111604,292.5542154198247
boi43,-35.2211,-5.8703,-38.66401754,-3.736487,448.9193029892349
boi44,-35.2194,-5.8676,-41.88620318,-21.21059108,1843.5923291065383
boi45,-35.2194,-5.8676,-46.05801936,-22.61109716,2188.30211855909
boi46,-35.2195,-5.8675,-56.14466374,-15.65806482,2528.7769792698004
boi47,-35.2195,-5.8675,-50.92968093,-17.7945434,2158.4461629805014
boi48,-35.2194,-5.8675,-54.56456909,-19.39552137,2575.164417843772
boi49,-35.2195,-5.8676,-34.91058339,-7.82837199,219.51365282027746
boi50,-35.2195,-5.8676,-52.61703111,-27.10683702,2987.278411449206
boi51,-35.2194,-5.8676,-51.49621531,-27.17030318,2920.990940859275
boi52,-35.2194,-5.8675,-46.78881014,-23.533612,2314.881612382047
boi53,-35.2194,-5.8677,-50.01696035,-5.629799735,1639.1913011099991
boi54,-35.2954,-5.7047,-49.42877727,-16.50319156,1950.045839910885
boi55,-35.2954,-5.7047,-50.0245774,-8.0544324,1648.3460784384451
boi56,-35.2954,-5.7047,-50.0245774,-8.0544324,1648.3460784384451
boi57,-35.2954,-5.7047,-34.91058339,-7.82837199,238.67783710189988
boi58,-35.2954,-5.7047,-52.2758769,-27.63340581,3019.647706528865
boi59,-35.2085,-5.8103,-49.46223519,-18.97306768,2123.7552022448217
boi60,-35.2085,-5.8103,-48.42480679,-7.633314911,1474.9217745490903
boi61,-35.2085,-5.8103,-51.37884779,-20.90146352,2415.4638883186985
boi62,-35.2085,-5.8103,-54.61574357,-20.45802999,2650.2669658998225
boi63,-35.2085,-5.8103,-44.06634465,-19.94344591,1834.039981548226
boi64,-35.2185,-5.8662,-51.40520808,-26.90316461,2892.5270524417588
boi65,-35.2185,-5.8662,-46.82124801,-22.4360055,2217.482511629051
boi66,-35.2185,-5.8662,-54.56456909,-19.39552137,2575.330801459139
boi67,-35.2185,-5.8662,-50.92968093,-17.7945434,2158.6227163524172
boi68,-35.2185,-5.8662,-52.61703111,-27.10683702,2987.4687503933496
boi69,-35.2185,-5.8661,-56.14466374,-15.65806482,2528.94598451993
boi70,-35.2185,-5.8661,-51.49621531,-27.17030318,2921.1841251600276
boi71,-35.2185,-5.8661,-48.748223,-6.189251148,1498.2358710536516
boi72,-35.2185,-5.8662,-46.92209251,-23.449453,2315.062261025419
boi73,-35.2185,-5.8662,-50.61128172,-9.364055729,1741.6420205841825
boi74,-35.2185,-5.8662,-52.61703111,-27.10683702,2987.4687503933496
boi75,-35.2185,-5.8662,-51.15170528,-27.00612907,2885.5657541882906
boi76,-35.2186,-5.8662,-34.91058339,-7.82837199,219.6511583365263
boi77,-35.2185,-5.866,-50.57021361,-14.74758948,1945.7616608983535
boi78,-35.2185,-5.866,-46.87465289,-23.508902,2317.757095760454
boi79,-35.2185,-5.866,-47.22049119,-23.6526325,2350.955620903864
boi80,-35.2185,-5.866,-48.42480679,-7.633314911,1472.917669807478
boi81,-35.2185,-5.866,-34.88894194,-8.062762483,245.65557943167843
boi82,-35.2184,-5.8662,-38.66401754,-3.736487,448.9371454542229
boi83,-35.2211,-5.8703,-48.56737784,-20.55845552,2172.4867222567505
boi84,-35.2056,-5.8497,-58.4173358,-15.2236652,2740.636076111656
boi85,-35.2056,-5.8497,-50.61128172,-9.364055729,1743.4646876582285
boi86,-35.2057,-5.8496,-54.61574357,-20.45802999,2647.7438945551335
boi87,-35.2057,-5.8496,-54.56456909,-19.39552137,2577.5707116495964
boi88,-35.2057,-5.8496,-50.01696035,-5.629799735,1640.7037715155786
boi89,-35.2057,-5.8496,-54.61574357,-20.45802999,2647.7438945551335
boi90,-35.2056,-5.8496,-51.69805748,-10.40327408,1885.4904437871355
boi91,-35.2056,-5.8496,-46.78881014,-23.533612,2317.3665469325365
boi92,-35.2056,-5.8496,-46.57038318,-23.5673865,2308.0270643990416
boi93,-35.2056,-5.8496,-50.92968093,-17.7945434,2160.8885073654164
boi94,-35.2056,-5.8496,-46.82124801,-22.4360055,2219.8004477815657
boi95,-35.2057,-5.8496,-56.14466374,-15.65806482,2531.0381120500506
boi96,-35.2056,-5.8496,-42.8337279,-5.10068111,849.3465254283471
boi97,-35.2056,-5.8496,-54.35497283,-10.01538586,2160.45185927611
boi98,-35.2056,-5.8496,-52.25269763,-7.233364916,1891.4636706245292
boi99,-35.2056,-5.8497,-50.57021361,-14.74758948,1947.9217811918822
boi100,-35.2057,-5.8496,-47.07154764,-23.43004085,2324.3284094141977
boi101,-37.3617,-5.1637,-52.25269763,-7.233364916,1663.703546473175
boi102,-37.3617,-5.1637,-50.43015506,-6.772978677,1457.7613434763884
boi103,-37.3416,-5.1859,-49.46223519,-18.97306768,2014.4095335270147
boi104,-37.3416,-5.1859,-50.57021361,-14.74758948,1793.5939055923366
boi105,-37.3416,-5.1859,-50.57021361,-14.74758948,1793.5939055923366
boi106,-37.3416,-5.1859,-50.01696035,-5.629799735,1405.6043508993591
boi107,-37.3416,-5.1859,-54.61574357,-20.45802999,2519.1810514831454
boi108,-37.3416,-5.1859,-50.57021361,-14.74758948,1793.5939055923366
boi109,-37.3416,-5.1859,-50.01696035,-5.629799735,1405.6043508993591
boi110,-37.3416,-5.1859,-54.61574357,-20.45802999,2519.1810514831454
boi111,-37.3416,-5.1859,-54.61574357,-20.45802999,2519.1810514831454
boi112,-37.3416,-5.1859,-54.61574357,-20.45802999,2519.1810514831454
boi113,-37.3416,-5.1859,-54.61574357,-20.45802999,2519.1810514831454
boi114,-37.3416,-5.1859,-54.61574357,-20.45802999,2519.1810514831454
boi115,-37.3417,-5.1859,-43.22787512,-22.87665212,2057.180175851464
boi116,-37.3417,-5.1859,-50.01696035,-5.629799735,1405.593275564057
boi117,-37.3591,-5.1764,-50.0245774,-8.0544324,1436.1123063840246
boi118,-37.3591,-5.1764,-51.69805748,-10.40327408,1683.291489934592
boi119,-37.3591,-5.1764,-49.63526941,-6.917778413,1372.5173410518796
boi120,-37.3592,-5.1765,-34.88894194,-8.062762483,420.1019322024436
boi121,-37.3592,-5.1765,-34.88894194,-8.062762483,420.1019322024436
boi122,-37.3591,-5.1765,-48.20870525,-7.19132894,1221.205635579808
boi123,-37.3534,-5.1749,-38.66401754,-3.736487,215.5405639462023
boi124,-37.3534,-5.1749,-44.06634465,-19.94344591,1788.393010956024
boi125,-37.3534,-5.1749,-51.69805748,-10.40327408,1683.940972760658
boi126,-37.3534,-5.1749,-54.61574357,-20.45802999,2519.075124762735
boi127,-37.3534,-5.1749,-50.57021361,-14.74758948,1793.2849602910442
boi128,-37.3534,-5.1749,-50.61128172,-9.364055729,1535.2541738613897
boi129,-37.3534,-5.1749,-42.8337279,-5.10068111,607.6860276489032
boi130,-37.3534,-5.1749,-50.43015506,-6.772978677,1458.5087798091643
