ID_left,LNG_LOJA,LAT_LOJA,index_right,ID_right,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO,Cod_setor,V011
boi1,-35.3285,-5.7921,3766,75828,241200505000076,URBANO,,,24120050500,,241200505,SÃO GONÇALO DO AMARANTE,2412005,SÃO GONÇALO DO AMARANTE,MACAÍBA,LESTE POTIGUAR,241200505000076,1316.76
boi3,-35.2099,-5.8455,2746,74724,240810205070127,URBANO,240810205019,Candelária,24081020507,R.A. SUL,240810205,NATAL,2408102,NATAL,NATAL,LESTE POTIGUAR,240810205070127,2754.04
boi4,-35.2099,-5.8455,2746,74724,240810205070127,URBANO,240810205019,Candelária,24081020507,R.A. SUL,240810205,NATAL,2408102,NATAL,NATAL,LESTE POTIGUAR,240810205070127,2754.04
boi5,-35.2099,-5.8455,2746,74724,240810205070127,URBANO,240810205019,Candelária,24081020507,R.A. SUL,240810205,NATAL,2408102,NATAL,NATAL,LESTE POTIGUAR,240810205070127,2754.04
boi6,-35.2294,-5.8851,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi7,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi8,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi9,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi10,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi11,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi12,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi13,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi14,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi15,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi16,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi17,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi18,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi19,-35.2296,-5.8853,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi20,-35.2296,-5.8853,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi21,-35.2296,-5.8853,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi22,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi23,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi24,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi25,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
boi26,-35.2296,-5.8854,1086,73148,240325105000199,URBANO,240325105004,Emaús,24032510500,,240325105,PARNAMIRIM,2403251,PARNAMIRIM,NATAL,LESTE POTIGUAR,240325105000199,1812.69
